מספר_הזמנה,תאריך,שנה,חודש,יום_בשבוע,עונה,חג,רשת,עיר,אזור,קטגוריה,תת_קטגוריה,מוצר,כמות,מחיר_יחידה,הנחה_אחוז,מכירות_ש,רווח_ש,אחוז_רווח
IL-05392,2022-02-16,2022,2,רביעי,חורף,,רמי לוי,חולון,מרכז,אלקטרוניקה,אוזניות,JBL Tune,5,299.0,0.0,1495.0,305.87,20.5
IL-05393,2022-01-14,2022,1,שישי,חורף,,יינות ביתן,פתח תקווה,מרכז,ביגוד והנעלה,ילדים,כובע ספורט,8,46.55,0.05,372.4,133.96,36.0
IL-05394,2023-04-11,2023,4,שלישי,אביב,,ויקטורי,אשדוד,דרום,בריאות ויופי,קוסמטיקה,פאודר פנים,6,84.55,0.05,507.3,154.23,30.4
IL-05395,2023-10-09,2023,10,שני,סתיו,סוכות,מגה,אשקלון,דרום,מזון ומשקאות,חטיפים,דיאגו,3,15.84,0.0,47.52,6.9,14.5
IL-05396,2022-06-24,2022,6,שישי,קיץ,,שופרסל,ראשון לציון,מרכז,בית וגן,סלון,שולחן קפה,8,399.0,0.0,3192.0,763.76,23.9
IL-05397,2023-03-24,2023,3,שישי,אביב,פורים,יינות ביתן,אשדוד,דרום,בית וגן,סלון,שולחן קפה,7,678.3,0.15,4748.1,1201.17,25.3
IL-05398,2024-08-06,2024,8,שלישי,קיץ,,ויקטורי,נתניה,שרון,מזון ומשקאות,מוצרי חלב,חלב תנובה 3%,6,6.21,0.1,37.26,3.39,9.1
IL-05399,2023-08-21,2023,8,שני,קיץ,,רמי לוי,אשדוד,דרום,אלקטרוניקה,מחשבים,לפטופ Lenovo,1,2699.1,0.1,2699.1,573.29,21.2
IL-05400,2022-03-29,2022,3,שלישי,אביב,,ויקטורי,ירושלים,ירושלים,אלקטרוניקה,טלפונים,Xiaomi 13,3,1349.1,0.1,4047.3,842.99,20.8
IL-05401,2022-12-07,2022,12,רביעי,חורף,,מגה,באר שבע,דרום,בריאות ויופי,קוסמטיקה,פאודר פנים,8,89.0,0.0,712.0,238.25,33.5
IL-05402,2022-03-22,2022,3,שלישי,אביב,,ויקטורי,הרצליה,שרון,בריאות ויופי,קוסמטיקה,קרם לחות SPF,3,58.65,0.15,175.95,61.96,35.2
IL-05403,2024-05-24,2024,5,שישי,אביב,,מגה,ירושלים,ירושלים,בריאות ויופי,היגיינה,שמפו Head&Shoulders,3,29.9,0.0,89.7,26.34,29.4
IL-05404,2022-05-12,2022,5,חמישי,אביב,,ויקטורי,נהריה,צפון,מזון ומשקאות,חטיפים,במבה,3,5.31,0.1,15.93,2.08,13.1
IL-05405,2024-08-20,2024,8,שלישי,קיץ,,חצי חינם,בני ברק,מרכז,מזון ומשקאות,פירות וירקות,"בננות ק""ג",3,6.55,0.05,19.65,2.28,11.6
IL-05406,2024-05-30,2024,5,חמישי,אביב,,רמי לוי,אשקלון,דרום,בית וגן,שינה,כרית שינה,3,80.1,0.1,240.3,73.39,30.5
IL-05407,2023-11-02,2023,11,חמישי,חורף,,מגה,ירושלים,ירושלים,מזון ומשקאות,משקאות,מיץ טבעי,1,12.9,0.0,12.9,1.5,11.6
IL-05408,2024-01-15,2024,1,שני,חורף,,שופרסל,הרצליה,שרון,מזון ומשקאות,חטיפים,ביסלי,5,5.87,0.15,29.35,3.18,10.8
IL-05409,2023-06-09,2023,6,שישי,קיץ,,רמי לוי,אשדוד,דרום,אלקטרוניקה,טלוויזיות,"Samsung 55""",4,2379.15,0.15,9516.6,1867.42,19.6
IL-05410,2022-04-08,2022,4,שישי,אביב,,רמי לוי,תל אביב,מרכז,בית וגן,מטבח,מחבת טפלון,3,99.0,0.0,297.0,90.97,30.6
IL-05411,2023-05-08,2023,5,שני,אביב,,שופרסל,ירושלים,ירושלים,אלקטרוניקה,מטעני חשמל,מטען מהיר USB-C,1,75.65,0.15,75.65,12.1,16.0
IL-05412,2023-01-25,2023,1,רביעי,חורף,,מגה,באר שבע,דרום,אלקטרוניקה,אוזניות,AirPods,8,699.0,0.0,5592.0,996.31,17.8
IL-05413,2023-02-24,2023,2,שישי,חורף,,שופרסל,נהריה,צפון,בית וגן,גינה,זרנוק גינה,1,71.2,0.2,71.2,17.68,24.8
IL-05414,2022-08-18,2022,8,חמישי,קיץ,,ויקטורי,נתניה,שרון,בית וגן,סלון,כרית נוי,7,47.2,0.2,330.4,67.75,20.5
IL-05415,2024-05-23,2024,5,חמישי,אביב,,ויקטורי,נהריה,צפון,בריאות ויופי,ויטמינים,ויטמין D3,5,44.0,0.0,220.0,71.72,32.6
IL-05416,2023-05-25,2023,5,חמישי,אביב,,שופרסל,חולון,מרכז,ביגוד והנעלה,ילדים,נעלי ילדים,5,119.0,0.0,595.0,219.12,36.8
IL-05417,2022-02-08,2022,2,שלישי,חורף,,שופרסל,בית שמש,ירושלים,בית וגן,ניקיון,מגב רצפה,8,39.0,0.0,312.0,89.81,28.8
IL-05418,2022-03-04,2022,3,שישי,אביב,,יינות ביתן,באר שבע,דרום,ביגוד והנעלה,ילדים,כובע ספורט,6,44.1,0.1,264.6,77.13,29.1
IL-05419,2022-07-14,2022,7,חמישי,קיץ,,ויקטורי,חיפה,צפון,ביגוד והנעלה,נשים,מכנסי ספורט,7,103.2,0.2,722.4,245.24,33.9
IL-05420,2022-12-15,2022,12,חמישי,חורף,,שופרסל,נצרת,צפון,בריאות ויופי,קוסמטיקה,שפתון L'Oreal,2,49.0,0.0,98.0,24.84,25.3
IL-05421,2024-01-05,2024,1,שישי,חורף,,מגה,תל אביב,מרכז,מזון ומשקאות,משקאות,מיץ טבעי,7,11.61,0.1,81.27,13.09,16.1
IL-05422,2024-05-01,2024,5,רביעי,אביב,,חצי חינם,ראשון לציון,מרכז,אלקטרוניקה,טלפונים,Samsung Galaxy,3,2379.15,0.15,7137.45,1052.19,14.7
IL-05423,2023-11-10,2023,11,שישי,חורף,,רמי לוי,ירושלים,ירושלים,אלקטרוניקה,מחשבים,לפטופ Lenovo,1,2999.0,0.0,2999.0,652.77,21.8
IL-05424,2024-10-27,2024,10,ראשון,סתיו,,יינות ביתן,נתניה,שרון,אלקטרוניקה,טלוויזיות,"TCL 43""",8,1104.15,0.15,8833.2,1840.63,20.8
IL-05425,2023-09-15,2023,9,שישי,סתיו,,מגה,חולון,מרכז,ביגוד והנעלה,גברים,תחתון כותנה,5,37.05,0.05,185.25,59.83,32.3
IL-05426,2024-04-08,2024,4,שני,אביב,,מגה,פתח תקווה,מרכז,אלקטרוניקה,מטעני חשמל,כבל Lightning,1,39.2,0.2,39.2,5.72,14.6
IL-05427,2022-08-07,2022,8,ראשון,קיץ,,שופרסל,ראשון לציון,מרכז,ביגוד והנעלה,נשים,חולצת כותנה,6,80.1,0.1,480.6,173.26,36.1
IL-05428,2024-06-10,2024,6,שני,קיץ,,רמי לוי,נתניה,שרון,בית וגן,ניקיון,שואב אבק,3,379.05,0.05,1137.15,289.6,25.5
IL-05429,2022-03-24,2022,3,חמישי,אביב,פורים,שופרסל,חולון,מרכז,בית וגן,שינה,ציפית,1,58.0,0.0,58.0,16.42,28.3
IL-05430,2022-02-10,2022,2,חמישי,חורף,,מגה,בני ברק,מרכז,בריאות ויופי,תרופות OTC,וויקס,8,24.9,0.0,199.2,60.86,30.6
IL-05431,2024-06-03,2024,6,שני,קיץ,,מגה,ראשון לציון,מרכז,אלקטרוניקה,מחשבים,טאבלט iPad,4,2499.0,0.0,9996.0,1265.15,12.7
IL-05432,2023-11-04,2023,11,שבת,חורף,,מגה,אשקלון,דרום,ביגוד והנעלה,אביזרים,חגורת עור,1,89.0,0.0,89.0,25.19,28.3
IL-05433,2023-12-24,2023,12,ראשון,חורף,,ויקטורי,נהריה,צפון,בית וגן,שינה,שמיכת קיץ,8,134.1,0.1,1072.8,307.68,28.7
IL-05434,2022-06-30,2022,6,חמישי,קיץ,,חצי חינם,ראשון לציון,מרכז,אלקטרוניקה,טלוויזיות,"TCL 43""",4,1299.0,0.0,5196.0,847.74,16.3
IL-05435,2023-09-18,2023,9,שני,סתיו,,מגה,אשקלון,דרום,בית וגן,ניקיון,סבון כלים Fairy,8,10.32,0.2,82.56,21.75,26.3
IL-05436,2023-05-28,2023,5,ראשון,אביב,,חצי חינם,ירושלים,ירושלים,מזון ומשקאות,מוצרי חלב,גבינה לבנה 5%,1,11.61,0.1,11.61,1.64,14.1
IL-05437,2024-01-01,2024,1,שני,חורף,,יינות ביתן,נצרת,צפון,בית וגן,מטבח,סיר נירוסטה,6,126.65,0.15,759.9,239.52,31.5
IL-05438,2024-12-04,2024,12,רביעי,חורף,,ויקטורי,נהריה,צפון,מזון ומשקאות,מוצרי חלב,יוגורט דנונה,4,4.5,0.0,18.0,2.01,11.2
IL-05439,2024-07-28,2024,7,ראשון,קיץ,,חצי חינם,בית שמש,ירושלים,מזון ומשקאות,לחם ומאפים,פיתות,4,8.9,0.0,35.6,3.91,11.0
IL-05440,2022-08-05,2022,8,שישי,קיץ,,שופרסל,אשדוד,דרום,אלקטרוניקה,מטעני חשמל,סוללה ניידת,8,134.1,0.1,1072.8,209.2,19.5
IL-05441,2022-04-10,2022,4,ראשון,אביב,,רמי לוי,הרצליה,שרון,אלקטרוניקה,מטעני חשמל,סוללה ניידת,8,126.65,0.15,1013.2,141.13,13.9
IL-05442,2024-11-29,2024,11,שישי,חורף,,מגה,באר שבע,דרום,אלקטרוניקה,מטעני חשמל,כבל Lightning,7,44.1,0.1,308.7,57.63,18.7
IL-05443,2022-08-03,2022,8,רביעי,קיץ,,מגה,נצרת,צפון,אלקטרוניקה,מטעני חשמל,כבל Lightning,7,41.65,0.15,291.55,57.31,19.7
IL-05444,2022-01-18,2022,1,שלישי,חורף,,שופרסל,באר שבע,דרום,בית וגן,סלון,שולחן קפה,5,359.1,0.1,1795.5,539.38,30.0
IL-05445,2023-09-01,2023,9,שישי,סתיו,,מגה,אשקלון,דרום,ביגוד והנעלה,הנעלה,נעלי עבודה,5,223.2,0.2,1116.0,325.76,29.2
IL-05446,2023-09-27,2023,9,רביעי,סתיו,,שופרסל,בני ברק,מרכז,מזון ומשקאות,פירות וירקות,"תפוחים ק""ג",3,10.12,0.15,30.36,2.95,9.7
IL-05447,2024-05-22,2024,5,רביעי,אביב,,ויקטורי,פתח תקווה,מרכז,ביגוד והנעלה,ילדים,כובע ספורט,4,49.0,0.0,196.0,63.44,32.4
IL-05448,2024-07-14,2024,7,ראשון,קיץ,,מגה,נתניה,שרון,בריאות ויופי,תרופות OTC,וויקס,7,24.9,0.0,174.3,56.3,32.3
IL-05449,2023-06-15,2023,6,חמישי,קיץ,,מגה,חולון,מרכז,בריאות ויופי,קוסמטיקה,פאודר פנים,6,75.65,0.15,453.9,151.79,33.4
IL-05450,2022-04-21,2022,4,חמישי,אביב,,יינות ביתן,חיפה,צפון,בריאות ויופי,ויטמינים,מגנזיום,6,46.55,0.05,279.3,101.92,36.5
IL-05451,2024-11-05,2024,11,שלישי,חורף,,רמי לוי,אשקלון,דרום,בית וגן,שינה,שמיכת קיץ,2,141.55,0.05,283.1,75.06,26.5
IL-05452,2024-09-03,2024,9,שלישי,סתיו,,מגה,נצרת,צפון,אלקטרוניקה,אוזניות,JBL Tune,1,284.05,0.05,284.05,46.89,16.5
IL-05453,2023-03-08,2023,3,רביעי,אביב,,ויקטורי,תל אביב,מרכז,מזון ומשקאות,משקאות,מים נביעות 6פ',8,14.15,0.05,113.2,17.49,15.5
IL-05454,2022-07-12,2022,7,שלישי,קיץ,,חצי חינם,הרצליה,שרון,אלקטרוניקה,אוזניות,JBL Tune,1,254.15,0.15,254.15,48.01,18.9
IL-05455,2022-01-06,2022,1,חמישי,חורף,,יינות ביתן,חיפה,צפון,בריאות ויופי,קוסמטיקה,שפתון L'Oreal,3,49.0,0.0,147.0,52.63,35.8
IL-05456,2023-01-26,2023,1,חמישי,חורף,,חצי חינם,חולון,מרכז,בריאות ויופי,היגיינה,דאודורנט Rexona,1,19.9,0.0,19.9,6.54,32.9
IL-05457,2023-01-23,2023,1,שני,חורף,,יינות ביתן,בית שמש,ירושלים,בריאות ויופי,היגיינה,שמפו Head&Shoulders,6,25.41,0.15,152.46,43.49,28.5
IL-05459,2023-02-05,2023,2,ראשון,חורף,,ויקטורי,פתח תקווה,מרכז,אלקטרוניקה,אוזניות,JBL Tune,6,239.2,0.2,1435.2,191.53,13.3
IL-05460,2022-09-01,2022,9,חמישי,סתיו,,יינות ביתן,בני ברק,מרכז,בית וגן,סלון,שולחן קפה,1,399.0,0.0,399.0,119.64,30.0
IL-05461,2022-10-14,2022,10,שישי,סתיו,,רמי לוי,פתח תקווה,מרכז,ביגוד והנעלה,הנעלה,סנדלי נוחות,2,199.0,0.0,398.0,153.49,38.6
IL-05462,2023-11-07,2023,11,שלישי,חורף,,שופרסל,הרצליה,שרון,בריאות ויופי,קוסמטיקה,פאודר פנים,6,89.0,0.0,534.0,200.51,37.5
IL-05463,2024-01-24,2024,1,רביעי,חורף,,חצי חינם,ירושלים,ירושלים,בית וגן,מטבח,סיר נירוסטה,1,149.0,0.0,149.0,45.49,30.5
IL-05464,2024-04-21,2024,4,ראשון,אביב,,ויקטורי,ראשון לציון,מרכז,ביגוד והנעלה,גברים,חולצת פולו,7,99.0,0.0,693.0,266.73,38.5
IL-05465,2023-06-28,2023,6,רביעי,קיץ,,מגה,הרצליה,שרון,בריאות ויופי,היגיינה,דאודורנט Rexona,7,19.9,0.0,139.3,42.15,30.3
IL-05466,2022-11-24,2022,11,חמישי,חורף,,יינות ביתן,ראשון לציון,מרכז,בריאות ויופי,קוסמטיקה,פאודר פנים,2,75.65,0.15,151.3,43.17,28.5
IL-05467,2022-10-30,2022,10,ראשון,סתיו,,חצי חינם,חיפה,צפון,מזון ומשקאות,פירות וירקות,"תפוחים ק""ג",1,11.3,0.05,11.3,1.64,14.5
IL-05468,2024-04-09,2024,4,שלישי,אביב,,רמי לוי,ראשון לציון,מרכז,אלקטרוניקה,מחשבים,טאבלט iPad,4,2124.15,0.15,8496.6,1635.85,19.3
IL-05469,2022-02-24,2022,2,חמישי,חורף,,ויקטורי,ירושלים,ירושלים,ביגוד והנעלה,ילדים,נעלי ילדים,6,119.0,0.0,714.0,252.2,35.3
IL-05470,2022-01-09,2022,1,ראשון,חורף,,מגה,הרצליה,שרון,ביגוד והנעלה,ילדים,נעלי ילדים,6,107.1,0.1,642.6,232.38,36.2
IL-05471,2023-11-13,2023,11,שני,חורף,,רמי לוי,תל אביב,מרכז,בית וגן,סלון,מנורת שולחן,6,122.55,0.05,735.3,213.01,29.0
IL-05472,2022-01-14,2022,1,שישי,חורף,,ויקטורי,חיפה,צפון,בית וגן,גינה,אדמת גינה,5,23.2,0.2,116.0,36.95,31.9
IL-05473,2023-03-20,2023,3,שני,אביב,,חצי חינם,חולון,מרכז,אלקטרוניקה,טלוויזיות,"LG 50""",4,2069.1,0.1,8276.4,1811.29,21.9
IL-05474,2024-04-21,2024,4,ראשון,אביב,,שופרסל,תל אביב,מרכז,בריאות ויופי,קוסמטיקה,פאודר פנים,4,84.55,0.05,338.2,113.75,33.6
IL-05475,2024-02-12,2024,2,שני,חורף,,חצי חינם,אשדוד,דרום,אלקטרוניקה,טלוויזיות,"TCL 43""",1,1299.0,0.0,1299.0,266.78,20.5
IL-05476,2023-01-12,2023,1,חמישי,חורף,,שופרסל,פתח תקווה,מרכז,בריאות ויופי,ויטמינים,מגנזיום,6,41.65,0.15,249.9,83.82,33.5
IL-05477,2022-02-17,2022,2,חמישי,חורף,,שופרסל,בית שמש,ירושלים,בית וגן,גינה,זרנוק גינה,7,75.65,0.15,529.55,140.95,26.6
IL-05478,2024-08-04,2024,8,ראשון,קיץ,,חצי חינם,תל אביב,מרכז,מזון ומשקאות,בשר ועוף,"כנפיים ק""ג",2,24.9,0.0,49.8,7.11,14.3
IL-05479,2022-03-21,2022,3,שני,אביב,,רמי לוי,תל אביב,מרכז,בריאות ויופי,קוסמטיקה,שפתון L'Oreal,5,44.1,0.1,220.5,61.34,27.8
IL-05480,2022-03-09,2022,3,רביעי,אביב,,ויקטורי,חיפה,צפון,בריאות ויופי,ויטמינים,ויטמין C 1000,2,37.05,0.05,74.1,26.05,35.2
IL-05481,2023-01-09,2023,1,שני,חורף,,שופרסל,אשדוד,דרום,בריאות ויופי,קוסמטיקה,פאודר פנים,4,71.2,0.2,284.8,80.93,28.4
IL-05482,2023-04-19,2023,4,רביעי,אביב,,חצי חינם,נהריה,צפון,מזון ומשקאות,משקאות,מיץ טבעי,3,11.61,0.1,34.83,4.48,12.9
IL-05483,2024-02-13,2024,2,שלישי,חורף,,חצי חינם,אשקלון,דרום,בריאות ויופי,קוסמטיקה,קרם לחות SPF,1,55.2,0.2,55.2,16.26,29.5
IL-05484,2023-11-22,2023,11,רביעי,חורף,,שופרסל,חולון,מרכז,בית וגן,מטבח,סיר נירוסטה,3,141.55,0.05,424.65,125.95,29.7
IL-05485,2022-03-28,2022,3,שני,אביב,,שופרסל,נתניה,שרון,בריאות ויופי,קוסמטיקה,קרם לחות SPF,4,58.65,0.15,234.6,74.83,31.9
IL-05486,2024-08-06,2024,8,שלישי,קיץ,,חצי חינם,חיפה,צפון,ביגוד והנעלה,נשים,חולצת כותנה,1,89.0,0.0,89.0,26.89,30.2
IL-05487,2023-08-09,2023,8,רביעי,קיץ,,יינות ביתן,נהריה,צפון,ביגוד והנעלה,הנעלה,נעלי עבודה,8,223.2,0.2,1785.6,647.5,36.3
IL-05488,2022-12-08,2022,12,חמישי,חורף,,יינות ביתן,הרצליה,שרון,אלקטרוניקה,טלפונים,Samsung Galaxy,4,2799.0,0.0,11196.0,1821.17,16.3
IL-05489,2022-11-22,2022,11,שלישי,חורף,,חצי חינם,אשדוד,דרום,בריאות ויופי,תרופות OTC,אקמול 500מג,3,17.95,0.05,53.85,18.66,34.7
IL-05490,2022-04-19,2022,4,שלישי,אביב,,מגה,הרצליה,שרון,ביגוד והנעלה,הנעלה,נעלי עבודה,7,279.0,0.0,1953.0,683.63,35.0
IL-05491,2024-10-27,2024,10,ראשון,סתיו,,מגה,נהריה,צפון,אלקטרוניקה,אוזניות,Sony WH-1000,7,899.0,0.0,6293.0,1207.39,19.2
IL-05492,2024-05-03,2024,5,שישי,אביב,,חצי חינם,נתניה,שרון,מזון ומשקאות,משקאות,מים נביעות 6פ',5,14.15,0.05,70.75,6.46,9.1
IL-05493,2022-11-15,2022,11,שלישי,חורף,,חצי חינם,אשדוד,דרום,ביגוד והנעלה,ילדים,חליפת תינוק,6,75.05,0.05,450.3,149.64,33.2
IL-05494,2023-03-22,2023,3,רביעי,אביב,,יינות ביתן,חיפה,צפון,בית וגן,שינה,שמיכת קיץ,8,134.1,0.1,1072.8,285.62,26.6
IL-05495,2023-06-19,2023,6,שני,קיץ,,ויקטורי,תל אביב,מרכז,מזון ומשקאות,משקאות,מיץ טבעי,5,12.25,0.05,61.25,8.92,14.6
IL-05496,2022-04-19,2022,4,שלישי,אביב,,שופרסל,בית שמש,ירושלים,אלקטרוניקה,מטעני חשמל,סוללה ניידת,8,149.0,0.0,1192.0,274.54,23.0
IL-05497,2023-09-20,2023,9,רביעי,סתיו,,ויקטורי,פתח תקווה,מרכז,בריאות ויופי,תרופות OTC,וויקס,3,22.41,0.1,67.23,19.89,29.6
IL-05498,2022-10-28,2022,10,שישי,סתיו,,ויקטורי,הרצליה,שרון,מזון ומשקאות,משקאות,מיץ טבעי,7,12.9,0.0,90.3,13.75,15.2
IL-05499,2022-09-02,2022,9,שישי,סתיו,,שופרסל,חיפה,צפון,מזון ומשקאות,בשר ועוף,"חזה עוף ק""ג",8,38.9,0.0,311.2,17.09,5.5
IL-05500,2024-11-22,2024,11,שישי,חורף,,שופרסל,בית שמש,ירושלים,ביגוד והנעלה,הנעלה,נעלי עבודה,7,251.1,0.1,1757.7,552.22,31.4
IL-05501,2024-11-21,2024,11,חמישי,חורף,,רמי לוי,תל אביב,מרכז,מזון ומשקאות,משקאות,מיץ טבעי,7,12.25,0.05,85.75,7.82,9.1
IL-05502,2023-09-18,2023,9,שני,סתיו,,יינות ביתן,חיפה,צפון,ביגוד והנעלה,גברים,חולצת פולו,8,89.1,0.1,712.8,220.56,30.9
IL-05503,2024-12-08,2024,12,ראשון,חורף,,שופרסל,חולון,מרכז,אלקטרוניקה,אוזניות,AirPods,6,699.0,0.0,4194.0,555.67,13.2
IL-05504,2024-02-04,2024,2,ראשון,חורף,,חצי חינם,באר שבע,דרום,ביגוד והנעלה,גברים,מכנסי ג'ינס,1,199.0,0.0,199.0,72.12,36.2
IL-05505,2022-06-25,2022,6,שבת,קיץ,,חצי חינם,נצרת,צפון,ביגוד והנעלה,אביזרים,חגורת עור,8,89.0,0.0,712.0,244.63,34.4
IL-05506,2022-08-31,2022,8,רביעי,קיץ,,שופרסל,חיפה,צפון,בריאות ויופי,ויטמינים,מגנזיום,2,49.0,0.0,98.0,32.48,33.1
IL-05507,2022-12-16,2022,12,שישי,חורף,,ויקטורי,תל אביב,מרכז,בית וגן,מטבח,בלנדר ידני,1,65.55,0.05,65.55,19.71,30.1
IL-05509,2024-06-25,2024,6,שלישי,קיץ,,ויקטורי,נהריה,צפון,בית וגן,סלון,מנורת שולחן,5,122.55,0.05,612.75,183.66,30.0
IL-05510,2022-06-20,2022,6,שני,קיץ,,שופרסל,באר שבע,דרום,ביגוד והנעלה,גברים,חולצת פולו,1,79.2,0.2,79.2,27.55,34.8
IL-05511,2022-01-02,2022,1,ראשון,חורף,,חצי חינם,תל אביב,מרכז,בית וגן,מטבח,סיר נירוסטה,8,134.1,0.1,1072.8,262.18,24.4
IL-05512,2024-01-12,2024,1,שישי,חורף,,חצי חינם,תל אביב,מרכז,אלקטרוניקה,טלפונים,Samsung Galaxy,1,2799.0,0.0,2799.0,592.64,21.2
IL-05513,2023-12-14,2023,12,חמישי,חורף,,מגה,באר שבע,דרום,בריאות ויופי,ויטמינים,ויטמין C 1000,4,33.15,0.15,132.6,40.09,30.2
IL-05514,2022-12-26,2022,12,שני,חורף,חנוכה,שופרסל,תל אביב,מרכז,מזון ומשקאות,משקאות,קוקה קולה 1.5L,8,14.22,0.0,113.76,10.46,9.2
IL-05515,2024-08-27,2024,8,שלישי,קיץ,,חצי חינם,בני ברק,מרכז,בית וגן,שינה,ציפית,4,23.2,0.2,92.8,25.49,27.5
IL-05516,2024-05-14,2024,5,שלישי,אביב,,יינות ביתן,ירושלים,ירושלים,בית וגן,שינה,שמיכת קיץ,3,149.0,0.0,447.0,112.92,25.3
IL-05517,2022-11-06,2022,11,ראשון,חורף,,חצי חינם,בית שמש,ירושלים,בריאות ויופי,היגיינה,משחת שיניים,3,14.9,0.0,44.7,13.74,30.7
IL-05518,2023-07-31,2023,7,שני,קיץ,,ויקטורי,ראשון לציון,מרכז,ביגוד והנעלה,גברים,מכנסי ג'ינס,4,189.05,0.05,756.2,272.48,36.0
IL-05519,2023-08-21,2023,8,שני,קיץ,,חצי חינם,תל אביב,מרכז,ביגוד והנעלה,גברים,חולצת פולו,4,94.05,0.05,376.2,135.6,36.0
IL-05520,2023-04-16,2023,4,ראשון,אביב,,ויקטורי,נתניה,שרון,בית וגן,ניקיון,שואב אבק,8,379.05,0.05,3032.4,767.39,25.3
IL-05521,2024-02-11,2024,2,ראשון,חורף,,שופרסל,אשקלון,דרום,בריאות ויופי,היגיינה,דאודורנט Rexona,8,15.92,0.2,127.36,38.89,30.5
IL-05522,2022-07-01,2022,7,שישי,קיץ,,ויקטורי,אשקלון,דרום,ביגוד והנעלה,אביזרים,ארנק עור,1,119.2,0.2,119.2,45.56,38.2
IL-05523,2024-01-14,2024,1,ראשון,חורף,,מגה,נצרת,צפון,בריאות ויופי,ויטמינים,ויטמין D3,2,44.0,0.0,88.0,29.47,33.5
IL-05524,2023-07-13,2023,7,חמישי,קיץ,,יינות ביתן,נהריה,צפון,מזון ומשקאות,חטיפים,ביסלי,4,5.52,0.2,22.08,4.02,18.2
IL-05525,2023-11-23,2023,11,חמישי,חורף,,ויקטורי,נצרת,צפון,אלקטרוניקה,אוזניות,JBL Tune,1,254.15,0.15,254.15,54.74,21.5
IL-05526,2023-06-28,2023,6,רביעי,קיץ,,שופרסל,ירושלים,ירושלים,בריאות ויופי,ויטמינים,ויטמין C 1000,3,39.0,0.0,117.0,41.46,35.4
IL-05527,2024-02-05,2024,2,שני,חורף,,רמי לוי,אשקלון,דרום,ביגוד והנעלה,נשים,חולצת כותנה,2,89.0,0.0,178.0,54.89,30.8
IL-05528,2022-04-27,2022,4,רביעי,אביב,,חצי חינם,הרצליה,שרון,בריאות ויופי,היגיינה,משחת שיניים,2,13.41,0.1,26.82,9.2,34.3
IL-05529,2023-05-28,2023,5,ראשון,אביב,,חצי חינם,בית שמש,ירושלים,בית וגן,גינה,אדמת גינה,6,26.1,0.1,156.6,43.6,27.8
IL-05530,2023-04-01,2023,4,שבת,אביב,,רמי לוי,ראשון לציון,מרכז,ביגוד והנעלה,אביזרים,כובע קיץ,2,62.1,0.1,124.2,41.42,33.3
IL-05531,2023-03-06,2023,3,שני,אביב,,חצי חינם,תל אביב,מרכז,בית וגן,סלון,מנורת שולחן,5,109.65,0.15,548.25,156.27,28.5
IL-05533,2022-11-14,2022,11,שני,חורף,,יינות ביתן,ירושלים,ירושלים,בית וגן,סלון,כרית נוי,6,47.2,0.2,283.2,83.55,29.5
IL-05534,2022-12-02,2022,12,שישי,חורף,,יינות ביתן,נתניה,שרון,בריאות ויופי,ויטמינים,ויטמין D3,2,37.4,0.15,74.8,21.96,29.4
IL-05535,2022-10-16,2022,10,ראשון,סתיו,שמחת תורה,מגה,ראשון לציון,מרכז,בית וגן,שינה,ציפית,5,41.32,0.05,206.6,62.45,30.2
IL-05536,2023-09-17,2023,9,ראשון,סתיו,,שופרסל,בית שמש,ירושלים,ביגוד והנעלה,נשים,מכנסי ספורט,4,122.55,0.05,490.2,162.19,33.1
IL-05537,2022-08-01,2022,8,שני,קיץ,,חצי חינם,חיפה,צפון,בריאות ויופי,היגיינה,משחת שיניים,8,11.92,0.2,95.36,31.14,32.7
IL-05538,2023-01-05,2023,1,חמישי,חורף,,מגה,ראשון לציון,מרכז,בית וגן,מטבח,מחבת טפלון,3,94.05,0.05,282.15,76.43,27.1
IL-05539,2023-11-20,2023,11,שני,חורף,,שופרסל,נצרת,צפון,ביגוד והנעלה,ילדים,חליפת תינוק,3,75.05,0.05,225.15,77.32,34.3
IL-05540,2024-07-02,2024,7,שלישי,קיץ,,ויקטורי,נתניה,שרון,בריאות ויופי,ויטמינים,ויטמין D3,8,41.8,0.05,334.4,114.69,34.3
IL-05541,2023-11-09,2023,11,חמישי,חורף,,מגה,בני ברק,מרכז,ביגוד והנעלה,אביזרים,כובע קיץ,8,55.2,0.2,441.6,140.78,31.9
IL-05542,2023-08-27,2023,8,ראשון,קיץ,,רמי לוי,ראשון לציון,מרכז,ביגוד והנעלה,גברים,חולצת פולו,3,84.15,0.15,252.45,103.09,40.8
IL-05543,2023-03-13,2023,3,שני,אביב,,שופרסל,בית שמש,ירושלים,ביגוד והנעלה,אביזרים,כובע קיץ,3,58.65,0.15,175.95,51.97,29.5
IL-05544,2024-07-18,2024,7,חמישי,קיץ,,חצי חינם,ירושלים,ירושלים,מזון ומשקאות,משקאות,מיץ טבעי,4,12.9,0.0,51.6,5.27,10.2
IL-05545,2024-02-11,2024,2,ראשון,חורף,,רמי לוי,הרצליה,שרון,בריאות ויופי,תרופות OTC,אקמול 500מג,3,15.12,0.2,45.36,15.02,33.1
IL-05546,2023-07-25,2023,7,שלישי,קיץ,,יינות ביתן,נתניה,שרון,ביגוד והנעלה,ילדים,נעלי ילדים,4,113.05,0.05,452.2,166.2,36.8
